X,Y,Index_,ACCNUM,YEAR,DATE,TIME,Hour,STREET1,STREET2,OFFSET,ROAD_CLASS,District,LATITUDE,LONGITUDE,LOCCOORD,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,INVTYPE,INVAGE,INJURY,FATAL_NO,INITDIR,VEHTYPE,MANOEUVER,DRIVACT,DRIVCOND,PEDTYPE,PEDACT,PEDCOND,CYCLISTYPE,CYCACT,CYCCOND,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_VEH,EMERG_VEH,PASSENGER,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,DISABILITY,Division,Ward_Name,Ward_ID,Hood_ID,Hood_Name,FID
-79.42689029,43.66174538,6588942,1215284,2011,2011-01-29T05:00:00.000Z,0,0,BLOOR ST W,CONCORD AVE, ,Major Arterial,Toronto East York,43.66174538,-79.42689029,Intersection,At Intersection,No Control,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Pedestrian,60 to 64,Fatal,3,East,Other, , , ,Pedestrian involved in a collision with transit vehicle anywhere along roadway,Crossing with right of way,Had Been Drinking, , , ,Yes, , , , ,Yes, , , ,Yes, , , ,D14,Trinity-Spadina (19),19,93,Dovercourt-Wallace Emerson-Junction (93),1
-79.34788904,43.77494391,7846800,1368270,2013,2013-07-28T04:00:00.000Z,1,0,SHEPPARD AVE E,DON MILLS RD, ,Major Arterial,North York,43.77494391,-79.34788904,Mid-Block, ,No Control,Rain,"Dark, artificial",Wet,Fatal,Pedestrian Collisions,Pedestrian,80 to 84,Fatal,26,South, , , , ,Pedestrian hit at mid-block,"Crossing, no Traffic Control",Inattentive, , , ,Yes, ,Yes, , , , ,Yes, , , , , ,D33,Don Valley East (33),33,47,Don Valley Village (47),2
-79.56166468,43.64589651,80489774,5001661734,2015,2015-09-26T04:00:00.000Z,1,0,BURNHAMTHORPE RD,427 C N BURNHAMTHORPE RAMP, ,Major Arterial,Etobicoke York,43.64589651,-79.56166468,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Fatal,Turning Movement,Driver,30 to 34,Fatal,47,East,"Automobile, Station Wagon",Going Ahead,Disobeyed Traffic Control,"Ability Impaired, Alcohol", , , , , , , , ,Yes, , , , , ,Yes,Yes,Yes,Yes, ,D22,Etobicoke-Lakeshore (5),5,14,Islington-City Centre West (14),3
-79.36748896,43.67424353,4178259,972843,2007,2007-06-02T04:00:00.000Z,2,0,BLOOR ST E,DRUMSNAB RD, ,Major Arterial,Toronto East York,43.67424353,-79.36748896,Intersection,At Intersection,No Control,Clear,Dark,Dry,Fatal,SMV Other,Motorcycle Driver,25 to 29,Fatal,0,West,Motorcycle,Slowing or Stopping,Lost control,Unknown, , , , , , , , , ,Yes, , , , ,Yes,Yes, , , ,D51,Toronto Centre-Rosedale (27),27,71,Cabbagetown-South St.James Town (71),4
-79.30788813,43.77874716,4161166,965369,2007,2007-04-22T04:00:00.000Z,4,0,WARDEN AVE,SHEPPARD AVE E, ,Major Arterial,Scarborough,43.77874716,-79.30788813,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Fatal,Turning Movement,Motorcycle Driver,20 to 24,Fatal,0,North,Motorcycle,Going Ahead,Exceeding Speed Limit,Normal, , , , , , , , ,Yes,Yes, , , , ,Yes,Yes, , , ,D42,Scarborough-Agincourt (40),40,118,Tam O'Shanter-Sullivan (118),5
-79.33239029,43.807745379999986,5371156,1043405,2008,2008-06-14T04:00:00.000Z,5,0,3440 PHARMACY AVE, , ,Minor Arterial,Scarborough,43.80774538,-79.33239029,Mid-Block, ,No Control,Rain,Dark,Wet,Fatal,Pedestrian Collisions,Pedestrian,25 to 29,Fatal,23,East,Other, , , ,Pedestrian hit at mid-block,"Crossing, no Traffic Control",Unknown, , , ,Yes, ,Yes, , , , , ,Yes,Yes, , , ,D42,Scarborough-Agincourt (39),39,116,Steeles (116),6
-79.33239029,43.807745379999986,5371157,1043405,2008,2008-06-14T04:00:00.000Z,5,0,3440 PHARMACY AVE, , ,Minor Arterial,Scarborough,43.80774538,-79.33239029,Mid-Block, ,No Control,Rain,Dark,Wet,Fatal,Pedestrian Collisions,Pedestrian,25 to 29,Fatal,24,East,Other, , , ,Pedestrian hit at mid-block,"Crossing, no Traffic Control",Unknown, , , ,Yes, ,Yes, , , , , ,Yes,Yes, , , ,D42,Scarborough-Agincourt (39),39,116,Steeles (116),7
-79.52883539,43.62629278,80502529,5001136090,2015,2015-07-06T04:00:00.000Z,8,0,KIPLING AVE,JUTLAND RD, ,Major Arterial,Etobicoke York,43.62629278,-79.52883539,Intersection,Intersection Related,No Control,Clear,"Dark, artificial",Dry,Fatal,Turning Movement,Motorcycle Driver,25 to 29,Fatal,33,North,Motorcycle,Going Ahead,Exceeding Speed Limit,Unknown, , , , , , , , ,Yes,Yes, , , ,Yes,Yes,Yes, , , ,D22,Etobicoke-Lakeshore (5),5,14,Islington-City Centre West (14),8
-79.304590289999979,43.74324538,6107407,1153073,2010,2010-02-15T05:00:00.000Z,9,0,LAWRENCE AVE E,PHARMACY AVE, ,Major Arterial,Scarborough,43.74324538,-79.30459029,Intersection, ,Traffic Signal,Clear,Dark,Dry,Fatal,Turning Movement,Driver,25 to 29,Fatal,10,West,"Automobile, Station Wagon",Turning Left,Driving Properly,Normal, , , , , , , , ,Yes, , , , ,Yes, , , , , ,D41,Scarborough Centre (37),37,119,Wexford/Maryvale (119),9
-79.29899029,43.71594538,4219065,990803,2007,2007-09-18T04:00:00.000Z,18,0,VICTORIA PARK AVE,HOLLAND AVE, ,Major Arterial,Scarborough,43.71594538,-79.29899029,Intersection,At Intersection,No Control,Clear,Dark,Dry,Fatal,Approaching,Driver,15 to 19,Fatal,0,South,"Automobile, Station Wagon",Going Ahead,Lost control,Unknown, , , , , , , , ,Yes, , , , , ,Yes,Yes, , , ,D54,Beaches-East York (31),31,54,O'Connor-Parkview (54),10
